reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
79dc7bb7-ee4a-445d-bb24-15a8d70d6f0f,Sabilatun Najah,https://play-lh.googleusercontent.com/a-/ALV-UjUTijpD6QGvQiO-wrkoD0iK3_NiVge4RzpwQPJscINJHt4,"Shopee ini bagus banget, tapi waktu belanja mau pakek focher knp ya selalu gk bisa pdhl, ada jaringan Wi-Fi, hp juga gk lemot, jadi gk kepakek tpi jadi koin yh gpp sih.",4,5,3.21.13,2024-03-15 03:57:42,"Hi kak, maaf ya terkait kendala menggunakan voucher. mimin bantu infoin pastikan sudah sesuai syarat ketentuan voucher ya kak. untuk pengecekan lebih lanjut boleh infoin ke mimin melalui DM ke Social Media kita @Shopee_id/@Shopeecare ya. Sehat selalu😊🙏^XD",2024-03-15 04:12:32,3.21.13
61e65724-ddc6-45c1-a693-cbf5bc74877b,Mistinah Tinah,https://play-lh.googleusercontent.com/a/ACg8ocLy3kjND1rSFbZUewNJkyyOqm9LLfegkFu0IlQ2sJFF=mo,"Awas banyak hacker mau coba nyusup di nama besar shopee..banyak penjual bodong yang majang produk dengan harga tidak wajar,cirinya setiap transaksi minta no telpon pembeli,waspada waspada.(Saat dicek petugas bank, ternyata ada mutasi beberapa kali pengambilan direct cash melalui sebuah aplikasi Shoope. Tentu saja, David berharap uang miliknya itu bisa kembali.) {Salah satu kasus hari ini di Sidoarjo.🙏}. Ayo shopee tingkatkan keamanan..",5,8,3.21.13,2024-03-14 22:19:07,"hai kak, maaf ya udah buat bingung, terkait kamu terkena penipuan oleh pihak yang mengatasnamakan Shopee, mimin sarankan kakak tidak memberikan data apapun ya kak, lalu biar bisa mimin bantu lebih lanjut, yuk infoin detail penipuan yang kamu alami melalui Live Chat di aplikasi Shopee kamu, mimin tunggu ya. terima kasih 🙏 ^UL",2023-01-18 20:06:45,3.21.13
315d4159-94b1-4766-b0fc-33e4420ef9bc,Rizal Ardianto,https://play-lh.googleusercontent.com/a-/ALV-UjW9t9pVmaYqDbF4OB6_vXHm3wgPsznhQhjaJLDm0zYxauY,"Aplikasi banyak membantu dalam berbelanja, tapi sekarang banyak biaya tambahan ini itu.. voucher2 banyak aturan ini itu.. gak kayak dulu bisa geratis ongkir sampe bayar ongkir cuma 10 rb. Bisa2 banyak pembeli lari ke tiktok shop.",2,37,3.20.10,2024-03-14 21:52:42,"Hi kak, maaf ya buat kecewa. Terkait masukan kamu akan menjadi catatan dan evaluasi kedepannya agar bisa menjadi lebih baik ya. Shopee akan terus berusaha meningkatkan pelayanan dan pengembangan agar pengguna lebih nyaman dalam menggunakan aplikasinya ya kak. Jika kedepannya ada pertanyaan/kendala boleh chat ke DM IG @shopee_id ya 🙏 ^AS",2024-03-14 22:06:22,3.20.10
e20dfafd-8143-4cfd-9b1d-504a28eb3a0f,OktHo Part II,https://play-lh.googleusercontent.com/a-/ALV-UjWw-sxGgQ7-5hMzGYMlDLaR4z5uSM-WqDohVcNzPtfSRw,harganya lebih murah..👍👍 Yg bilang gk bisa dicicil saya cuma bisa ketawa.shoppee skarang udah lengkap fiturnya..saya kalau beli di shopee pasti bayarnya 3 atau 6 bulan cicilan..hehehe..cocok kalau lagi belum ada uang trus pakai Spaylater.. Bahkan pinjam uang pun bisa di shoppee..saya udah buktikan sendiri..daripada ke bank ribet,5,4,3.21.13,2024-03-14 20:47:43,"hyy kak, makasiih buat bintang bintangnyaa, mimin terharu banget deh kamu happy dengan shopee. skuuy pantauin terus aplikasi shopee dan sosial medianya, biar kamu ngga kelewatan informasi terbaru dari shopee yah. sehat selalu kak :) ^MZ",2024-03-14 21:08:59,3.21.13
85559349-bd26-4533-96be-c5ad0e7ae204,renata mahendra octorina,https://play-lh.googleusercontent.com/a-/ALV-UjU3Fz29H2AC4euV6SGcJTa3cgTaVlj4ve2iHz_MdCYZHOE,"Shopee udah bagus sih tapi yang disayang kan adalah sekarang udah nggak bisa beli barang dari luar indonesia / negeri karena jujur barang dari luar negeri bagus² + murah², tapi barang dari indonesia banyak yang murah juga sih cuman ongkir nya aja yang jadi mahal banget ,terkadang beli barang yang harga nya 10rb eh ongkirnya 14rb mahalan ongkirnya daripada barang nya berasa beli ongkir 🥲",4,4,3.21.13,2024-03-14 19:18:09,"Hai kak Maaf untuk reviewnya, untuk kedepannya Kami akan meningkatkan pelayanan Shopee agar lebih baik, Jika ada kendala bisa chat mimin dg memberikan screenshot review ini ke DM Social Media kita @Shopee_id /@Shopeecare ya, Sehat selalu🙏^EU",2024-03-14 20:58:29,3.21.13
610d373d-7d99-4ea2-9a19-d4141be9eeae,Tarmin,https://play-lh.googleusercontent.com/a-/ALV-UjWn_oq81EZFF4tTAvt6g9Oha1kcj5vOtygfaKAc7YbSSg,"Aplikasi yang sangattt sangatt membantu seluruh maysiarakat indonesia, yg ingin berbelanja dengan mudah aman dan bebas pilihan, aplikasi handalan seluruh rakyat indonesia🇮🇩👍",5,3,3.20.10,2024-03-14 16:06:39,"Hai kak, maaciw yaah udah selalu suka dan nyaman pakai Shopee, jgn lupa jga buat selalu ceki-ceki aplikasi Shopee km dan nikmati semua voucher, promo serta diskon yg ada yaa. Kalau ada pertanyaan terkait Shopee boleh kasih tau di DM IG shopee_id yaa, sehat selalu 😊^MY",2024-03-14 17:29:13,3.20.10
49d16144-2acb-4093-88f9-f24a02a631cc,Dar Co,https://play-lh.googleusercontent.com/a-/ALV-UjUDlUBP8DmkSRgFAbuNrY9svJ3PoV5wiJ66jBYVenCKRA,untuk fiturnya semua ok mantap cuman minusnya satu di pengiriman barang krna pengalaman saya sering dikirim agak telat padahal di lokasinya sudah di cabang kantor daerah saya bukannya langsung diproses dan langsung diantar tapi selalu dimundurin entah cuma terjadi sama saya saja atau yg lain jg jdi saran saya LBH dioptimalkan lagi dalam hal pengiriman barang terima kasih.,3,4,3.21.12,2024-03-14 13:38:58,"Hi kak, mohon maaf atas ketidaknyamanannya. Untuk keluhan kakak akan kami jadikan feedback agar pelayanan Shopee semakin lebih baik kedepannya. Terkait kendala pesanan kakak, agar mimin bisa bantu lebih lanjut bisa DM ke social media kita @shopee_id dengan mengirimkan detail kendalanya ya kak. Stay safe🙏^SR",2024-03-14 14:19:47,3.21.12
084421b2-5fe7-46e0-af3e-929cb2e0103a,Junaida Sitanggang,https://play-lh.googleusercontent.com/a/ACg8ocKTx-CfxF1MzWnDRdIWUSS_5hV7FUF_pYQdguWafvWT=mo,Saya memang sangat terbantu belanja di shoope ini. Tapi saya sangat kecewa dengan jasa pengirimannya shoope expres. Kalau kita cod sering banget barang kita gk nyampe dan dikembalikan ketokonya. Saya sudah 2 kali pesan barang di shoope dikembalikan ketoko pesanan saya. Jadi tolong dong shoope diperbaharui jasa pengirimannya shoope express jangan dikembalikan barang kita kalau kita pesan cod.😥😥😥 Dan maaf saya hanya bisa dulu kasih bintang satunya.🙏🙏🙏,1,4,3.16.20,2024-03-14 13:07:19,"hai kak maaf ya terkait pesanan yg di kembalikan ke penjual Jika Kakak masih membutuhkan produk yang dipesan sebelumnya, Kakak dapat melakukan pemesanan ulang dengan produk yang sama, untuk pengecekannya kakak bisa ke live chat atau ke  DM media social resmi shopee ya ^MY",2024-03-14 14:25:43,3.16.20
9132b1ee-cd47-45e2-b575-6dd952821d1d,Prayer Nc,https://play-lh.googleusercontent.com/a-/ALV-UjVBJsnu3TVXH3jRHFaIJHi3VvosmjseFL7pURLZvdUxN4c,"Aplikasinya bagus,saya mau kasih masukan gak?inprovment buat aplikasi Sekarang banyak banget streamer games buat link donasi buat mabar,nah harusnya sopy bisa buat menu jasa mabar dijamin gacor Kalo ide saya masuk boleh lah saya di kasih diskon 🤪",5,4,3.20.10,2024-03-14 12:28:30,"Hai kak, makasih ya buat bintang 5 dan feedbacknya. Saran kakak akan dijadikan masukan agar kedepannya Shopee bisa lebih baik lagi dan kakak selalu nyaman dan aman pakai Shopee. Klo ada pertanyaan terkait Shopee jangan sungkan DM mimin di @Shopee_id / @Shopeecare ya, sehat selalu 😊^WM",2024-03-14 13:07:43,3.20.10
820369fc-1a4c-45ae-9a06-b935693282ab,Mardian Syafitri,https://play-lh.googleusercontent.com/a-/ALV-UjUqtCl-2Wk_r98kJ0YYFg33HkGua1PU4dcnb9mYg_bTtl0,"Masa saya udah bayar dibilang belum bayar, setelah itu malah gak bisa di bukak lagi payletternya aneh banget!! Setelah di komplen ke akun IG nya malah akun saya keluar sendiri dri shoppee, saya masuk lagi malah gak bisa katanya sistem sibuk? Sudah 2x saya di tipu seperti ini, pertama pas pengembalian dana juga tidak kembali sampek sekarang, sekarang malah saya udah bayar payletternya malah katanya belum sampek sekarang. Gak jelas!! Pantas pada beralih ke tiktok ya",1,5,3.21.13,2024-03-14 11:35:21,,,3.21.13
